time,open,high,low,close,tick_volume,spread,real_volume
2025-11-03 07:00:00,4003.8,4004.47,3998.27,3999.75,707,18,0
2025-11-03 07:05:00,3999.77,4007.9,3998.01,4007.88,1011,18,0
2025-11-03 07:10:00,4007.9,4009.99,4005.93,4007.05,913,18,0
2025-11-03 07:15:00,4007.04,4008.21,4005.07,4006.85,539,18,0
2025-11-03 07:20:00,4006.8,4007.76,4005.22,4007.74,372,18,0
2025-11-03 07:25:00,4007.85,4012.58,4007.78,4011.99,646,18,0
2025-11-03 07:30:00,4012.02,4018.51,4012.02,4014.47,1149,18,0
2025-11-03 07:35:00,4014.39,4015.39,4012.09,4014.26,786,18,0
2025-11-03 07:40:00,4014.33,4016.62,4014.33,4014.75,692,18,0
2025-11-03 07:45:00,4014.8,4015.22,4013.03,4015.18,569,18,0
2025-11-03 07:50:00,4015.19,4016.98,4014.25,4016.18,674,18,0
2025-11-03 07:55:00,4016.2,4016.4,4011.45,4013.95,672,18,0
2025-11-03 08:00:00,4014.03,4016.79,4012.89,4013.94,843,18,0
2025-11-03 08:05:00,4013.88,4015.68,4010.06,4015.16,940,18,0
2025-11-03 08:10:00,4015.2,4016.29,4014.19,4014.63,672,18,0
2025-11-03 08:15:00,4014.62,4018.33,4013.37,4017.18,728,18,0
2025-11-03 08:20:00,4017.17,4018.52,4013.58,4017.81,779,18,0
2025-11-03 08:25:00,4017.81,4018.42,4013.87,4016.48,740,18,0
2025-11-03 08:30:00,4016.49,4016.6,4013.14,4015.11,716,18,0
2025-11-03 08:35:00,4014.84,4016.92,4014.0,4016.29,725,18,0
2025-11-03 08:40:00,4016.34,4018.05,4015.52,4015.59,638,18,0
2025-11-03 08:45:00,4015.58,4016.87,4013.92,4016.84,563,18,0
2025-11-03 08:50:00,4016.85,4018.5,4015.53,4017.23,574,18,0
2025-11-03 08:55:00,4017.13,4018.49,4014.28,4017.58,729,18,0
2025-11-03 09:00:00,4017.57,4023.74,4015.98,4022.06,1141,18,0
2025-11-03 09:05:00,4022.1,4022.43,4017.71,4020.11,992,18,0
2025-11-03 09:10:00,4020.29,4020.35,4015.07,4015.34,798,18,0
2025-11-03 09:15:00,4015.38,4016.57,4013.52,4015.23,701,18,0
2025-11-03 09:20:00,4015.22,4018.03,4014.93,4015.74,528,18,0
2025-11-03 09:25:00,4015.76,4020.49,4015.7,4019.11,676,18,0
2025-11-03 09:30:00,4018.46,4020.18,4015.93,4017.49,548,18,0
2025-11-03 09:35:00,4017.86,4023.17,4017.55,4020.89,963,18,0
2025-11-03 09:40:00,4020.88,4023.05,4020.72,4022.07,728,18,0
2025-11-03 09:45:00,4022.12,4022.92,4020.55,4022.31,701,18,0
2025-11-03 09:50:00,4022.3,4025.97,4022.26,4023.5,943,18,0
2025-11-03 09:55:00,4023.49,4025.78,4022.1,4025.27,902,18,0
2025-11-03 10:00:00,4025.29,4027.26,4025.19,4026.82,859,18,0
2025-11-03 10:05:00,4026.76,4027.95,4024.1,4025.68,862,18,0
2025-11-03 10:10:00,4025.66,4027.08,4020.82,4021.79,816,18,0
2025-11-03 10:15:00,4021.75,4023.48,4018.99,4019.73,887,18,0
2025-11-03 10:20:00,4019.7,4020.31,4015.79,4016.1,776,18,0
2025-11-03 10:25:00,4016.13,4016.62,4011.01,4014.53,1063,18,0
2025-11-03 10:30:00,4014.8,4016.54,4012.05,4013.6,877,18,0
2025-11-03 10:35:00,4013.55,4016.64,4013.53,4014.53,998,18,0
2025-11-03 10:40:00,4014.56,4017.66,4012.63,4016.68,866,18,0
2025-11-03 10:45:00,4016.73,4017.25,4013.18,4017.2,1006,18,0
2025-11-03 10:50:00,4017.21,4018.39,4014.56,4015.7,850,18,0
2025-11-03 10:55:00,4015.68,4020.7,4015.37,4019.61,638,18,0
2025-11-03 11:00:00,4019.56,4020.4,4016.6,4019.53,849,18,0
2025-11-03 11:05:00,4019.5,4026.01,4019.17,4025.36,1031,18,0
2025-11-03 11:10:00,4025.35,4025.64,4021.65,4021.66,941,18,0
2025-11-03 11:15:00,4021.72,4022.18,4015.95,4017.39,1041,18,0
2025-11-03 11:20:00,4017.42,4019.75,4014.42,4014.66,1017,18,0
2025-11-03 11:25:00,4014.68,4014.71,4004.96,4007.13,1296,18,0
2025-11-03 11:30:00,4007.14,4008.03,4000.91,4003.2,1436,18,0
2025-11-03 11:35:00,4003.21,4005.46,4002.57,4003.4,1133,18,0
2025-11-03 11:40:00,4003.29,4003.8,3996.41,3997.16,1191,18,0
2025-11-03 11:45:00,3997.11,4001.02,3993.21,4000.6,1297,18,0
2025-11-03 11:50:00,4000.55,4005.12,4000.13,4002.83,1221,18,0
2025-11-03 11:55:00,4002.77,4003.68,4000.35,4000.53,721,18,0
2025-11-03 12:00:00,4000.51,4004.87,3996.9,3996.91,953,18,0
2025-11-03 12:05:00,3996.95,3998.01,3994.43,3996.47,1205,18,0
2025-11-03 12:10:00,3996.46,3999.65,3995.71,3997.52,841,18,0
2025-11-03 12:15:00,3997.18,3999.23,3996.69,3998.02,617,18,0
2025-11-03 12:20:00,3997.97,3998.95,3995.97,3996.92,697,18,0
2025-11-03 12:25:00,3996.86,4000.67,3996.8,3997.8,848,18,0
2025-11-03 12:30:00,3997.81,3998.39,3994.45,3998.24,1053,18,0
2025-11-03 12:35:00,3998.25,4001.29,3997.78,3998.81,718,18,0
2025-11-03 12:40:00,3998.79,4000.22,3997.44,3998.02,674,18,0
2025-11-03 12:45:00,3997.99,3998.67,3994.78,3996.18,984,18,0
